Date,Sentiment_Score
2017-02-03,0.5
2017-02-04,0.0
2017-02-05,-0.5
2017-02-06,-0.1667
2017-02-07,-0.2308
2017-02-08,-0.1579
2017-02-09,0.1579
2017-02-10,0.7895
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.5
2017-02-14,0.1154
2017-02-15,0.2273
2017-02-16,-0.1429
2017-02-17,-0.5833
2017-02-18,-1.0
2017-02-20,1.0
2017-02-21,1.0
2017-02-22,0.1111
2017-02-23,-0.15
2017-02-24,-0.5
2017-02-25,-0.25
2017-02-26,-0.3333
2017-02-27,0.15
2017-02-28,-0.5385
2017-03-01,0.5455
2017-03-02,-0.0345
2017-03-03,0.25
2017-03-05,0.2
2017-03-06,-0.4286
2017-03-07,-0.4286
2017-03-08,-0.1905
2017-03-09,-0.2857
2017-03-10,0.3846
2017-03-12,0.6667
2017-03-13,-0.0952
2017-03-14,-0.5417
2017-03-15,0.2
2017-03-16,0.2353
2017-03-17,-0.375
2017-03-19,-1.0
2017-03-20,-0.3529
2017-03-21,-0.6667
2017-03-22,-0.5385
2017-03-23,-0.4583
2017-03-24,-0.4167
2017-03-25,0.0
2017-03-26,-1.0
2017-03-27,-0.6
2017-03-28,-0.0417
2017-03-29,0.05
2017-03-30,0.1333
2017-03-31,-0.4
2017-04-02,-0.5
2017-04-03,0.2381
2017-04-04,-0.2353
2017-04-05,0.1667
2017-04-06,0.0
2017-04-07,-0.6667
2017-04-08,0.0
2017-04-09,0.5
2017-04-10,0.2
2017-04-11,-0.4375
2017-04-12,-0.3333
2017-04-13,-0.7391
2017-04-15,0.0
2017-04-17,0.2609
2017-04-18,-0.3571
2017-04-19,-0.2667
2017-04-20,0.3529
2017-04-21,-0.1667
2017-04-22,0.0
2017-04-23,1.0
2017-04-24,0.4583
2017-04-25,0.3846
2017-04-26,0.2571
2017-04-27,0.24
2017-04-28,-0.3214
2017-04-29,0.5
2017-04-30,0.0
2017-05-01,0.3
2017-05-02,0.0
2017-05-03,-0.4167
2017-05-04,-0.4545
2017-05-05,0.2105
2017-05-06,0.0
2017-05-07,0.25
2017-05-08,-0.4091
2017-05-09,0.2308
2017-05-10,-0.2414
2017-05-11,-0.5
2017-05-12,-0.68
2017-05-14,-0.5
2017-05-15,0.619
2017-05-16,-0.0667
2017-05-17,-0.6389
2017-05-18,-0.2308
2017-05-19,-0.2778
2017-05-20,0.0
2017-05-21,-1.0
2017-05-22,0.1364
2017-05-23,0.1765
2017-05-24,0.3
2017-05-25,0.381
2017-05-26,-0.3158
2017-05-27,0.0
2017-05-28,1.0
2017-05-29,0.25
2017-05-30,-0.4444
2017-05-31,0.1667
2017-06-01,0.3846
2017-06-02,-0.2941
2017-06-03,-1.0
2017-06-04,1.0
2017-06-05,-0.381
2017-06-06,-0.2
2017-06-07,0.25
2017-06-08,0.05
2017-06-09,-0.381
2017-06-10,0.0
2017-06-11,1.0
2017-06-12,-0.5714
2017-06-13,0.0741
2017-06-14,-0.4444
2017-06-15,-0.6923
2017-06-16,-0.1176
2017-06-17,0.5
2017-06-19,0.5
2017-06-20,-0.3462
2017-06-21,-0.4706
2017-06-22,-0.0625
2017-06-23,-0.1
2017-06-24,-0.5
2017-06-26,-0.25
2017-06-27,-0.3913
2017-06-28,0.0455
2017-06-29,0.0
2017-06-30,0.3462
2017-07-01,0.5
2017-07-02,0.0
2017-07-03,0.4211
2017-07-04,-0.25
2017-07-05,-0.1667
2017-07-06,-0.375
2017-07-07,0.2
2017-07-08,-0.5
2017-07-09,0.0
2017-07-10,0.3478
2017-07-11,-0.3125
2017-07-12,0.6667
2017-07-13,0.3846
2017-07-14,-0.0357
2017-07-15,0.0
2017-07-16,-1.0
2017-07-17,-0.1739
2017-07-18,-0.5417
2017-07-19,0.3103
2017-07-20,0.1364
2017-07-21,-0.6
2017-07-22,1.0
2017-07-23,0.0
2017-07-24,-0.3
2017-07-25,0.1538
2017-07-26,0.4444
2017-07-27,-0.0303
2017-07-28,-0.7368
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0833
2017-08-02,0.16
2017-08-03,-0.4783
2017-08-04,-0.1304
2017-08-05,-0.3333
2017-08-06,0.0
2017-08-07,0.2353
2017-08-08,-0.28
2017-08-09,-0.7308
2017-08-10,-0.5862
2017-08-11,-0.4667
2017-08-12,-1.0
2017-08-13,0.0
2017-08-14,0.2333
2017-08-15,0.25
2017-08-16,0.3158
2017-08-17,-0.5455
2017-08-18,-0.697
2017-08-19,0.0
2017-08-20,-1.0
2017-08-21,-0.6087
2017-08-22,0.12
2017-08-23,-0.6842
2017-08-24,-0.2273
2017-08-25,0.0526
2017-08-26,1.0
2017-08-27,-0.3333
2017-08-28,-0.0435
2017-08-29,-0.25
2017-08-30,0.2941
2017-08-31,0.8421
2017-09-01,0.0714
2017-09-02,-1.0
2017-09-03,-0.6667
2017-09-04,-1.0
2017-09-05,-0.4762
2017-09-06,0.0
2017-09-07,-0.2667
2017-09-08,-0.65
2017-09-09,0.0
2017-09-10,-0.2
2017-09-11,0.5263
2017-09-12,0.4839
2017-09-13,-0.125
2017-09-14,0.15
2017-09-15,-0.2941
2017-09-18,0.5385
2017-09-19,-0.1852
2017-09-20,-0.0952
2017-09-21,-0.6154
2017-09-22,-0.2381
2017-09-23,-1.0
2017-09-24,1.0
2017-09-25,-0.4
2017-09-26,0.0952
2017-09-27,0.2778
2017-09-28,0.2222
2017-09-29,0.5909
2017-09-30,-1.0
2017-10-01,1.0
2017-10-02,0.2353
2017-10-03,0.56
2017-10-04,0.2143
2017-10-05,0.4
2017-10-06,-0.2759
2017-10-07,0.0
2017-10-08,0.3333
2017-10-09,0.0
2017-10-10,0.2917
2017-10-11,0.0588
2017-10-12,-0.55
2017-10-13,0.4783
2017-10-15,-0.5
2017-10-16,0.1739
2017-10-17,0.2
2017-10-18,0.3704
2017-10-19,-0.3478
2017-10-20,0.5
2017-10-21,1.0
2017-10-22,-0.5
2017-10-23,-0.2174
2017-10-24,0.2174
2017-10-25,-0.15
2017-10-26,0.12
2017-10-27,0.6818
2017-10-29,0.5
2017-10-30,-0.0556
2017-10-31,0.619
2017-11-01,0.3333
2017-11-02,-0.3125
2017-11-03,0.3478
2017-11-04,-1.0
2017-11-06,0.3333
2017-11-07,-0.3125
2017-11-08,-0.1905
2017-11-09,-0.0385
2017-11-10,-0.6522
2017-11-11,1.0
2017-11-12,-1.0
2017-11-13,-0.2174
2017-11-14,-0.5714
2017-11-15,-0.4286
2017-11-16,0.4211
2017-11-17,-0.1852
2017-11-19,0.0
2017-11-20,-0.0714
